Disease,Description
Hypoglycemia,Hạ đường huyết là một tình trạng trong đó lượng đường trong máu (glucose) của bạn thấp hơn bình thường.Glucose là nguồn năng lượng chính của cơ thể bạn.Hạ đường huyết thường liên quan đến điều trị bệnh tiểu đường.Nhưng các loại thuốc khác và một loạt các điều kiện - nhiều điều kiện hiếm gặp - có thể gây ra lượng đường trong máu thấp ở những người không mắc bệnh tiểu đường.
Acne,"Mụn trứng cá là sự hình thành của các comedone, sẩn, mụn mủ, nốt sần và/hoặc u nang do sự tắc nghẽn và viêm của các đơn vị pilosebaceous (nang lông và tuyến bã nhờn đi kèm của chúng).Mụn trứng cá phát triển trên khuôn mặt và thân trên.Nó thường ảnh hưởng đến thanh thiếu niên."
Diabetes,"Bệnh tiểu đường là một bệnh xảy ra khi đường huyết của bạn, còn được gọi là lượng đường trong máu, quá cao.Glucose máu là nguồn năng lượng chính của bạn và đến từ thực phẩm bạn ăn.Insulin, một loại hormone được tạo ra bởi tuyến tụy, giúp glucose từ thực phẩm xâm nhập vào các tế bào của bạn để sử dụng cho năng lượng."
Impetigo,"Impetigo (im-puh-tie-go) là một bệnh nhiễm trùng da phổ biến và rất dễ lây lan, chủ yếu ảnh hưởng đến trẻ sơ sinh và trẻ em.Vụ Vụ thường xuất hiện dưới dạng vết loét đỏ trên mặt, đặc biệt là xung quanh mũi và miệng của trẻ, và trên tay và chân.Các vết loét vỡ và phát triển lớp vỏ màu mật ong."
Hypertension,"Tăng huyết áp (HTN hoặc HT), còn được gọi là huyết áp cao (HBP), là một tình trạng y tế lâu dài trong đó huyết áp trong động mạch được tăng cường.Huyết áp cao thường không gây ra các triệu chứng."
Peptic ulcer diseae,"Bệnh loét dạ dày (PUD) là sự phá vỡ trong lớp lót bên trong của dạ dày, phần đầu tiên của ruột non, hoặc đôi khi là thực quản dưới.Một vết loét trong dạ dày được gọi là loét dạ dày, trong khi một trong phần đầu tiên của ruột là loét tá tràng."
Dimorphic hemorrhoids(piles),"Bệnh trĩ, cũng được đánh vần là xuất huyết, là các cấu trúc mạch máu trong ống hậu môn.Trong ... tên khác, xuất huyết, cọc, bệnh trĩ."
Common Cold,"Lạnh thông thường là nhiễm virus của mũi và cổ họng của bạn (đường hô hấp trên).Nó thường vô hại, mặc dù nó có thể không cảm thấy như vậy.Nhiều loại virus có thể gây cảm lạnh thông thường."
Chicken pox,"Bệnh thủy đậu là một bệnh truyền nhiễm cao gây ra bởi virus varicella-zoster (VZV).Nó có thể gây ra một phát ban ngứa, giống như vỉ.Phát ban đầu tiên xuất hiện trên ngực, lưng và mặt, sau đó lan rộng khắp toàn bộ cơ thể, gây ra từ 250 đến 500 vết phồng rộp ngứa."
Cervical spondylosis,"Bệnh cột sống cổ tử cung là một thuật ngữ chung cho hao mòn liên quan đến tuổi ảnh hưởng đến các đĩa cột sống ở cổ.Khi các đĩa bị mất nước và co lại, các dấu hiệu của viêm xương khớp phát triển, bao gồm các hình chiếu xương dọc theo các cạnh của xương (Spurs xương)."
Hyperthyroidism,"Hyperthyroidism (tuyến giáp hoạt động quá mức) xảy ra khi tuyến giáp của bạn tạo ra quá nhiều hormone thyroxine.Bệnh cường giáp có thể đẩy nhanh quá trình trao đổi chất của cơ thể bạn, gây ra giảm cân không chủ ý và nhịp tim nhanh chóng hoặc không đều."
Urinary tract infection,"Nhiễm trùng đường tiết niệu: Nhiễm trùng thận, niệu quản, bàng quang hoặc niệu đạo.Viết tắt UTI.Không phải tất cả mọi người mắc UTI đều có triệu chứng, nhưng các triệu chứng phổ biến bao gồm một sự thôi thúc thường xuyên đi tiểu và đau hoặc đốt khi đi tiểu."
Varicose veins,"Một tĩnh mạch đã mở rộng và xoắn, thường xuất hiện dưới dạng một mạch máu màu xanh phình ra có thể nhìn thấy rõ qua da.Các tĩnh mạch giãn tĩnh mạch là phổ biến nhất ở người lớn tuổi, đặc biệt là phụ nữ và xảy ra đặc biệt là trên chân."
AIDS,"Hội chứng suy giảm miễn dịch mắc phải (AIDS) là một tình trạng mãn tính, có khả năng đe dọa tính mạng gây ra bởi virus gây suy giảm miễn dịch ở người (HIV).Bằng cách làm hỏng hệ thống miễn dịch của bạn, HIV can thiệp vào khả năng chống nhiễm trùng và bệnh tật của cơ thể bạn."
Paralysis (brain hemorrhage),"Xuất huyết nội sọ (ICH) là khi máu đột nhiên vỡ vào mô não, gây tổn thương cho não của bạn.Các triệu chứng thường xuất hiện đột ngột trong ICH.Chúng bao gồm đau đầu, yếu, nhầm lẫn và tê liệt, đặc biệt là ở một bên cơ thể bạn."
Typhoid,"Một bệnh cấp tính đặc trưng bởi sốt do nhiễm trùng vi khuẩn salmonella typhi.Sốt thương hàn có khởi phát ngấm ngầm, với sốt, đau đầu, táo bón, bất ổn, ớn lạnh và đau cơ.Tiêu chảy là không phổ biến, và nôn mửa thường không nghiêm trọng."
Hepatitis B,"Viêm gan B là nhiễm trùng gan của bạn.Nó có thể gây ra sẹo của cơ quan, suy gan và ung thư.Nó có thể gây tử vong nếu nó không được đối xử.Nó lây lan khi mọi người tiếp xúc với máu, vết loét mở hoặc chất lỏng cơ thể của một người bị virus viêm gan B."
Fungal infection,"Ở người, nhiễm nấm xảy ra khi một loại nấm xâm chiếm chiếm một khu vực của cơ thể và quá nhiều để hệ thống miễn dịch xử lý.Nấm có thể sống trong không khí, đất, nước và thực vật.Ngoài ra còn có một số loại nấm sống tự nhiên trong cơ thể con người.Giống như nhiều vi khuẩn, có nấm hữu ích và nấm có hại."
Hepatitis C,"Viêm gan do virus viêm gan C (HCV), thường lây lan qua truyền máu (hiếm), chạy thận nhân tạo và gậy kim.Tổn thương viêm gan C gây ra cho gan có thể dẫn đến xơ gan và các biến chứng của nó cũng như ung thư."
Migraine,"Một chứng đau nửa đầu có thể gây đau nhói nghiêm trọng hoặc cảm giác xung, thường ở một bên đầu.Nó thường đi kèm với buồn nôn, nôn và sự nhạy cảm cực độ đối với ánh sáng và âm thanh.Các cuộc tấn công đau nửa đầu có thể kéo dài hàng giờ đến nhiều ngày và cơn đau có thể nghiêm trọng đến mức nó cản trở các hoạt động hàng ngày của bạn."
Bronchial Asthma,"Hen suyễn phế quản là một tình trạng y tế khiến đường thở của phổi sưng lên và hẹp.Do sưng này, đường không khí tạo ra chất nhầy dư thừa làm cho nó khó thở, dẫn đến ho, hơi thở ngắn và khò khè.Bệnh là mãn tính và can thiệp vào làm việc hàng ngày."
Alcoholic hepatitis,"Viêm gan do rượu là một tình trạng viêm, viêm gan do tiêu thụ rượu nặng trong một thời gian dài.Nó cũng trở nên trầm trọng hơn do uống rượu và sử dụng rượu liên tục.Nếu bạn phát triển tình trạng này, bạn phải ngừng uống rượu"
Jaundice,"Nhuộm màu vàng của da và sclerae (lòng trắng của mắt) bằng nồng độ máu cao bất thường của sắc tố mật bilirubin.Màu vàng kéo dài đến các mô và chất lỏng cơ thể khác.Vàng da đã từng được gọi là ""Morbus regius"" (căn bệnh vương giả) với niềm tin rằng chỉ có sự chạm vào của một vị vua mới có thể chữa khỏi"
Hepatitis E,Một dạng viêm gan hiếm gặp do nhiễm virus viêm gan E (HEV).Nó được truyền qua thực phẩm hoặc đồ uống được xử lý bởi một người bị nhiễm bệnh hoặc thông qua các nguồn cung cấp nước bị nhiễm bệnh ở những khu vực có chất phân có thể xuống nước.Viêm gan E không gây ra bệnh gan mãn tính.
Dengue,"Một bệnh truyền nhiễm cấp tính gây ra bởi một flavivirus (virus sốt xuất huyết của chi flavivirus), được truyền bởi muỗi Aedes, và đặc trưng bởi đau đầu, đau khớp nặng và phát ban.- Được gọi là sốt đột phá, sốt xuất huyết."
Hepatitis D,"Viêm gan D, còn được gọi là virus Viêm viêm gan, là một bệnh nhiễm trùng khiến gan bị viêm.Sưng này có thể làm suy yếu chức năng gan và gây ra các vấn đề về gan dài hạn, bao gồm sẹo gan và ung thư.Tình trạng này được gây ra bởi virus viêm gan D (HDV)."
Heart attack,"Cái chết của cơ tim do mất nguồn cung cấp máu.Mất nguồn cung cấp máu thường được gây ra bởi sự tắc nghẽn hoàn toàn của động mạch vành, một trong những động mạch cung cấp máu cho cơ tim."
Pneumonia,"Viêm phổi là nhiễm trùng ở một hoặc cả hai phổi.Vi khuẩn, virus và nấm gây ra nó.Nhiễm trùng gây viêm trong túi khí trong phổi của bạn, được gọi là phế nang.Các phế nang lấp đầy chất lỏng hoặc mủ, gây khó thở."
Arthritis,"Viêm khớp là sưng và đau của một hoặc nhiều khớp của bạn.Các triệu chứng chính của viêm khớp là đau khớp và cứng, thường xấu đi theo tuổi.Các loại viêm khớp phổ biến nhất là viêm xương khớp và viêm khớp dạng thấp."
Gastroenteritis,"Viêm tiêu hóa là một tình trạng viêm của đường tiêu hóa, đặc biệt là dạ dày và ruột già và nhỏ.Viêm tiêu hóa virus và vi khuẩn là nhiễm trùng đường ruột liên quan đến các triệu chứng tiêu chảy, chuột rút bụng, buồn nôn và nôn."
Tuberculosis,"Bệnh lao (TB) là một bệnh truyền nhiễm thường do vi khuẩn Mycobacterium tuberculosis (MTB) gây ra.Bệnh lao thường ảnh hưởng đến phổi, nhưng cũng có thể ảnh hưởng đến các bộ phận khác của cơ thể.Hầu hết các bệnh nhiễm trùng cho thấy không có triệu chứng, trong trường hợp đó được gọi là bệnh lao tiềm ẩn."
